,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,class
TCGA-DK-AA77,-1.2642366,1.5824732,0.14634661,1.1282145,-3.3534133,-0.18830414,1.2121758,1.9740616,1.139259,0.3691625,0.9024767,-1.7209666,-1.3264196,-0.50712854,0.8320212,-0.5145821,0.39810672,-0.6016941,-1.8863616,-2.2075367,0.8267137,0.75024307,-1.1402138,-0.5994713,LumP
TCGA-E5-A2PC,-1.7216383,1.1902586,0.64330924,1.2147814,-2.9241488,0.8158047,1.7225443,1.9444501,1.0008,0.186802,0.6926531,-1.6757636,-0.40692186,0.35032535,0.7850009,-0.37125942,0.2595085,-1.5524089,-0.8243715,-2.7680964,1.5314462,0.8563431,-0.38280487,-1.268438,Ba/Sq
TCGA-E5-A4TZ,-1.5883718,1.2021418,0.8102595,2.065877,-3.1446717,0.9407767,0.69395995,2.6203384,0.58338964,-0.37176433,0.6448074,-0.3793459,-0.6587897,-1.5288625,0.458032,-0.66435957,1.1465008,-0.7065231,-2.0982957,-1.7472355,1.338346,1.2822077,-0.058097437,-0.3553592,Ba/Sq
TCGA-E5-A4U1,-3.0319517,0.1998649,-0.8055881,-1.3770226,-2.9154077,0.096902564,3.446013,1.9484355,1.6021589,1.221424,1.6418306,-3.8207686,-1.5243566,2.1838093,1.8218025,0.61072373,-0.19119644,0.84614664,-2.0932279,-4.0856285,-0.08720042,-0.5868039,-2.4726622,0.72111315,LumP
TCGA-E7-A3X6,-0.460591,1.1159794,0.5461475,1.0120736,-2.8880103,-0.006148383,0.6491711,1.653881,0.96149933,0.52616394,0.4390759,-0.85126615,-0.9659289,-0.83962214,0.6563517,-0.6583008,0.5169418,-0.65414757,-1.5779861,-1.7838504,0.9791976,1.122239,-0.98879737,-0.762413,Ba/Sq
TCGA-E7-A3Y1,-2.8562746,1.3432809,-1.2864969,0.029025227,-3.464571,-1.0097358,2.9226952,2.1072319,1.7266247,0.7740259,1.8183205,-4.5971246,-2.1982744,1.3845255,1.6325127,-0.11419973,-0.16742635,0.21222591,-2.186298,-3.4233072,-0.32391322,-0.7895627,-1.9753652,0.382147,LumP
TCGA-E7-A4IJ,-1.362908,0.698217,0.021316476,0.20160058,-2.1367064,0.30130395,1.1734505,1.5620533,0.6569198,0.42236185,0.8179093,-1.4683256,-1.0653063,-0.18320955,0.73318785,-0.08151224,0.70304567,0.12810409,-1.4351803,-1.5131923,0.32036543,0.057779968,-1.1157387,0.25565672,LumU
TCGA-E7-A4XJ,-1.1162995,1.8024478,-0.77824384,-0.5885625,-4.7628665,-1.6084656,2.1441543,1.8616962,1.9049491,2.0000682,1.0199705,-2.889034,-2.7682228,0.518568,1.8880936,0.029286802,-0.19743413,0.81229013,-2.4631472,-3.3086016,0.62619424,0.1831544,-3.2719078,-0.34384733,LumP
TCGA-E7-A519,-1.2183577,0.56276554,-0.9505645,-2.5997467,-5.5803266,-2.1221466,3.7516422,1.7647094,2.6205711,4.002728,0.33650368,-3.1012547,-2.5324836,2.4902515,2.671391,0.9664557,-0.8871549,1.4456267,-3.0884705,-5.1191015,1.118819,0.6622076,-4.6569443,-0.3368241,LumP
TCGA-E7-A541,-0.44161806,0.62362015,0.07020281,-0.10776836,-2.4553542,-0.06979976,1.0515252,1.3570616,0.6883406,1.0919759,0.4568322,-1.1046145,-1.185213,-0.258262,0.9097362,-0.031707138,0.38637832,0.0988869,-1.1779008,-1.5884056,0.62744546,0.48392788,-1.5652865,-0.11160515,LumP
